lambda_nm,vprime,
550.5,0.3048276007,
550.4000244,0.3145881295,
550.2999878,0.3254728913,
550.2000122,0.3309653401,
550.0999756,0.3407989442,
550,0.3478072882,
549.9000244,0.3566163778,
549.7999878,0.3644165099,
549.7000122,0.343711406,
549.5999756,0.3285473883,
549.5,0.3424093425,
549.4000244,0.3419545591,
549.2999878,0.3508793414,
549.2000122,0.3572411537,
549.0999756,0.372995764,
549,0.3804336488,
548.9000244,0.3904286027,
548.7999878,0.3982055783,
548.7000122,0.4088985622,
548.5999756,0.427033186,
548.5,0.44126755,
548.4000244,0.4557916224,
548.2999878,0.4676935077,
548.2000122,0.4574696422,
548.0999756,0.335036993,
548,0.3140777946,
547.9000244,0.3188366592,
547.7999878,0.3282148838,
547.7000122,0.3369084895,
547.5999756,0.3448701501,
547.5,0.3568334281,
547.4000244,0.343883574,
547.2999878,0.330375284,
547.2000122,0.337800771,
547.0999756,0.3373759687,
547,0.3482030928,
546.9000244,0.3536153138,
546.7999878,0.3626490533,
546.7000122,0.3770676553,
546.5999756,0.3870817721,
546.5,0.4000693858,
546.4000244,0.409014374,
546.2999878,0.417922467,
546.2000122,0.4305280447,
546.0999756,0.4470911324,
546,0.459649533,
545.9000244,0.4687698483,
545.7999878,0.4840411842,
545.7000122,0.3859740496,
545.5999756,0.3235238492,
545.5,0.3247686028,
545.4000244,0.3317554593,
